Date_User,Latitude_User,Longitude_User,AccelerometerX_User,AccelerometerY_User,AccelerometerZ_User
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.005112,-0.632370,-0.779556
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006500,-0.632568,-0.781708
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004684,-0.634613,-0.778900
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004379,-0.633575,-0.777069
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004852,-0.632965,-0.779266
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.005814,-0.633301,-0.779953
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006165,-0.632050,-0.780396
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003281,-0.631500,-0.779358
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001694,-0.630768,-0.774597
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002335,-0.631729,-0.778717
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004242,-0.632492,-0.781738
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006088,-0.635040,-0.782959
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006927,-0.635010,-0.784882
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.007126,-0.634903,-0.785492
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006180,-0.635422,-0.782867
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003403,-0.633484,-0.779694
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003021,-0.631271,-0.775650
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.000412,-0.629547,-0.771149
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.000717,-0.629730,-0.767776
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002350,-0.629669,-0.768494
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003494,-0.631638,-0.769836
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.005295,-0.632416,-0.773117
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006927,-0.634018,-0.776581
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.008011,-0.635651,-0.777649
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004028,-0.634964,-0.777039
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002075,-0.632233,-0.777649
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001801,-0.634369,-0.779938
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001816,-0.632629,-0.782639
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001816,-0.631134,-0.780823
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001907,-0.632034,-0.777130
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001038,-0.632538,-0.773956
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002686,-0.633224,-0.774231
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004852,-0.634903,-0.774872
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006958,-0.634018,-0.776413
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.005859,-0.634033,-0.776245
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003754,-0.630798,-0.777222
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001801,-0.629807,-0.777359
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003693,-0.630936,-0.777603
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004654,-0.631241,-0.780350
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003403,-0.631943,-0.779465
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003235,-0.632690,-0.778122
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002563,-0.633606,-0.777359
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004807,-0.635269,-0.777283
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.008453,-0.635864,-0.782852
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.008606,-0.635422,-0.783722
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004944,-0.636063,-0.777863
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002884,-0.634583,-0.772171
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.000931,-0.632080,-0.772263
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003098,-0.632782,-0.774231
